포스터,제목,장르,러닝타임,회원점수,줄거리,제작비,수익,감독
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5qHoazZiaLe7oFBok7XlUhg96f2.jpg,Anyone But You,"Romance, Comedy",1h 43m,71.0,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",214891370.0,,Will Gluck
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/6faYaQyiBPhqAizldJKq21mIVaE.jpg,Ghostbusters: Frozen Empire,"Fantasy, Adventure, Comedy",1h 55m,67.0,"The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters, who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",138500000.0,,Gil Kenan
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/vgJZSqKMXWDDx09iSIStGKfHMku.jpg,Wish,"Animation, Family, Fantasy, Adventure",1h 35m,65.0,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",251720820.0,,Chris Buck
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5a7cocgyVuFjYV71neDIGVzD6Yq.jpg,Bullet Train Down,Action,1h 26m,54.0,"On its maiden run, the world's fastest bullet train is rigged with a bomb that will explode if it dips below 200 mph.",,,Brian Nowak
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hhvMTxlTZtnCOe7YFhod9uz3m37.jpg,Code 8 Part II,"Science Fiction, Action, Crime",1h 41m,65.0,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",,,Jeff Chan
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,Fast X,"Action, Crime, Thriller",2h 22m,71.0,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",704709660.0,,Justin Lin
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/j1Rjw6a62UwrbTNT0I3JzZnnCmr.jpg,Noah's Ark,"Animation, Music, Comedy",1h 35m,71.0,"A pair of mice attempt to board Noah's Ark: Vini, a charismatic poet with terrible stage fright, and Tito, a talented and charming guitarist. When the rains come, only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck, Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while, the animals perform a series of classic songs inspired by world renowned poet, Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?",,2016868.0,Sérgio Machado
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg,Civil War,"Action, War, Thriller",1h 49m,84.0,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",,,Alex Garland
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ywzbF5YSBfZ7XqcGO9YR6Gy4VFt.jpg,Princess Cursed in Time: Alchemist's Quest,"Family, Fantasy, Comedy",2h 13m,75.0,"It follows young alchemist Amélie as she acquires a magical power: partially influencing the flow of time. But she is split in time, and Amélie from the present meets Améliw from the past, who accompanies her every step of the way.",,,Petr Kubík
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7IJ7F8tX7IAkpUdaGovOBJqORnJ.jpg,"The Pig, the Snake and the Pigeon","Action, Crime",2h 14m,73.0,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",,,Wong Ching-Po
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,Joker,"Crime, Thriller, Drama",2h 2m,82.0,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",1074500000.0,,Todd Phillips
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fAjyUDKABSehK6pHWvh9ket5X3z.jpg,Kingdom of the Planet of the Apes,"Science Fiction, Adventure, Action",2h 25m,,,,,
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/y9zzaN65LOO56nUGC31x9mWQzoi.jpg,Miller's Girl,"Mystery, Thriller, Drama",1h 33m,69.0,A precocious young writer becomes involved with her high school creative writing teacher in a dark coming-of-age drama that examines the blurred lines of emotional connectivity between professor and protégé.,647147.0,,Jade Halley Bartlett
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",2h 59m,84.0,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",871368364.0,,Peter Jackson
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,The Marvels,"Science Fiction, Adventure, Action",1h 45m,62.0,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",207089999.0,,Nia DaCosta
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,xXx,"Action, Adventure, Thriller, Crime",2h 4m,59.0,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",277500000.0,,Rob Cohen
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nKPoSD4pZ3s3CJ9g3cqWRcQ41TC.jpg,Air Force One Down,"Action, Thriller",1h 24m,64.0,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",,,James Bamford
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,My Fault,"Drama, Romance",1h 57m,80.0,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",,,Domingo González
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7lTnXOy0iNtBAdRP3TZvaKJ77F6.jpg,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",2h 4m,68.0,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",433285802.0,,James Wan
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fQ40gmFM4p03tXwMxQQKh2cCBW4.jpg,Godzilla: King of the Monsters,"Science Fiction, Action",2h 12m,67.0,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",386600138.0,,Michael Dougherty
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,Barbie,"Comedy, Adventure",1h 54m,71.0,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",1445638421.0,,Greta Gerwig
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tVMddOS5bi3YPVPgTPlEw0TOWoF.jpg,Meteor,"Science Fiction, Thriller",1h 24m,55.0,"After a meteor collides into Earth, a lonely rancher and a lost young girl are on the run from vicious mercenaries.",,,Brett Bentman
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qbH4t4n1xr04ry8GiLCIRCUTRYD.jpg,She Devils of the SS,"Drama, War",1h 35m,48.0,"In the last days of WW2, women are volunteering from all over Germany to serve in the front lines by having sex with the brave Nazi soldiers. But when they start having sex with each other, things get complicated. Especially with the increasing danger from the revengeful Soviet army!",,,Erwin C. Dietrich
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5weKu49pzJCt06OPpjvT80efnQj.jpg,Spider-Man: No Way Home,"Action, Adventure, Science Fiction",2h 28m,80.0,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",1921847111.0,,Steve Ditko
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/f4oZTcfGrVTXKTWg157AwikXqmP.jpg,The Boy and the Heron,"Animation, Adventure, Fantasy",2h 4m,74.0,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""",50000000.0,165208613.0,Hayao Miyazaki
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,Thor: Ragnarok,"Action, Adventure, Science Fiction",2h 11m,76.0,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",855301806.0,,Taika Waititi
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kUX5ourGUJDG0yvEeS3uooZS0dS.jpg,Música,"Romance, Comedy, Music",1h 31m,68.0,"A young man, plagued by the music in his head, has to come to terms with an uncertain future while balancing love, family and Brazilian culture in Newark, New Jersey.",,,Rudy Mancuso
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zokD6uxR2iWfYM3Y84yGJvnNTK7.jpg,Godzilla,"Action, Drama, Science Fiction",2h 3m,63.0,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",529100000.0,,Gareth Edwards
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1On8iF3AsFIbpyfZg1xiGWMAFBn.jpg,Skal - Fight for Survival,"Action, Horror, Comedy, Thriller",1h 17m,53.0,"My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.",,,Benjamin Cappelletti
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/A7EByudX0eOzlkQ2FIbogzyazm2.jpg,The Beekeeper,"Action, Thriller, Drama",1h 45m,75.0,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,151417661.0,,David Ayer
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,Avatar: The Way of Water,"Science Fiction, Adventure, Action",3h 12m,76.0,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2320250281.0,,James Cameron
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,The Super Mario Bros. Movie,"Animation, Family, Adventure, Fantasy, Comedy",1h 33m,77.0,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",1362000000.0,,Aaron Horvath
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/txA4srjcxa4HiWEaMyrNtWHbR5a.jpg,Monsternado,"Horror, Science Fiction",1h 21m,58.0,"When a tornado full of creatures bursts through the city, a group are held at a hotel trying to figure out a way to survive!",,,Tyler-James
